submission_id, submission_smiles
bafe64f0-6e6c-469d-8133-4ae4b797a831, CS(=O)(=O)N(C[C@H]1CCN2c3cc(S(N)(=O)=O)ccc3CC[C@@H]2C1)C1=CCC([C@H](O)N2CCSCC2)=C1NC(=O)CCl
b9b69149-728b-48ac-b50d-9dc89a43712c, O=C(N1CCN(C(C2C=CC=C3C(CCNC(=O)C)=CNC=23)CCC2C=CC(C(F)(F)F)=CC=2)CC1)CCl
b7f58f21-5871-4330-a23f-4dac830ca6c2, C1C(CCNS(=O)(=O)C)=CC=CC=1O
b301fc01-eaa3-438e-b42f-76447b374d39, O=C(CC1(C#CC2=CC=CN=C2)CCCCC1)NC3=CC=CN=C3
b2e39629-9fde-4190-8e54-9e1057a25998, CC(=O)NCCC1C2C=C(C=CC=2N(CC(=O)N2CCOCC2)C=1)C#N
b2d83456-e4d0-4e2b-9117-b154002b1beb, C1=C(N2CCCCC2)C=C(CN2CCN(C(=O)C)CC2)C=C1
abdb2f0c-96a0-42dc-a285-0a9491bb0458, O1CCN(C2=CC(C3=NC=CO3)=C(C#N)N=C2)CCC1
a9f4e7c0-12ed-42db-af05-f1e95832b1bb, N(CC1C=CC(C#N)=CC=1)C(N1CCO[C@@H]([C-]2C(Cl)=C[C-]C(S(N3CCN(C([CH-])=O)CC3)(=O)=O)=C2)C1)=O
a79af1bc-c2a2-47a8-a5ad-5a4bd135c8b4, C1CN(C(=O)CCl)CCC1NC1=NC(C)=CC(C)=N1
a63bdd1d-09b8-4791-9be4-0dea837c1138, CN(CCC1C2C(=CC=CC=2)NC=1)C
a5fc619e-a7a0-43cf-a105-697cf3dc31cf, ClCC(=O)N1C(C2C=CC=CC=2)CN(CC2C=C(Cl)C=CC=2)CC1
a5f8a8b9-3fb6-4a13-94e2-52b0fadf300d, N(C(C)=O)[C@H](C(NCC(N[C@H](C(N[C@H](C(N)=O)CCCNC(N)=O)=O)CC1C=CC=CC=1)=O)=O)CO
9d245c51-111a-4566-8d06-001e1834bd55, COC1N=C(CN(C2N=CC=C(C)C=2)C(NC2C(C=C)=NC=C(C)C=2CCNC(=O)C)=O)N=C(F)N=1
99f25457-1a81-4d52-9016-814e9f4f52d4, ClCC(=O)NCC1C(C2CCCC2C(=O)N)=CC=CC=1
995df016-6e6f-4488-b3fc-fdb67ea1871a, C1CC(C(=O)SCF)CCN1C(=O)C
97428359-b6ae-4c5a-a83a-a96ce443bb25, O=C(NCCN1CCN(C2C=CC=CC=2)CC1)NCC1N=CC=CC=1
972ef1cc-c982-4e98-8f85-722ab0ff6735, ClCC(=O)N1CC(C2=NC3CCC(CC=3S2)CN)CCC1
