submission_id, submission_smiles
d1e0885a-4deb-43bc-868d-ea4ea14cd272, ClCC(N1CCN(CC2SC=CC=2C#N)CC1)=O
d0fd10df-4c83-4bce-a4b8-33d30731b03f, CC1C=CN=CC=1NC(=O)CCC1C=CC(S(=O)(N)=O)=CC=1C(=O)OC
d0b586b3-0836-44e0-821a-632a10ca52c2, N1C2C(=CC=C(S(N)(=O)=O)C=2)CC[C@@H]1C[C@H](C1SC(Br)=CC=1)[NH+]1CCN(C(CCl)=O)CC1
d0156db4-922c-45d6-ad51-9d2b524cbad9, CS(=O)(=O)NCC(C1C=CC=CC=1)C(=O)NC1C=CC=NC=1
cfb91824-3476-4bf0-a086-4416cf2ca5bc, N#CC1C(C2C(=O)N(C3C=CC=CC=3)C=C(C3C=CC=CN=3)C=2)=CC=CC=1
cf069e49-abd4-4b51-a704-982da1f1d67f, CN1C(C2CC(=O)NCC2)CN2C(=CC(=C(C2=O)C2C3C(=NC=CC=3)OC=2)C2OCC(=O)C=2)C1
cce853d0-9767-46b3-a896-595a9bb2325f, CC1C=CC(C)=C(CC(=O)NC2C=CC=NC=2Cl)C=1NC(=O)C=C
cc80d5b0-1834-4c03-92a6-bbc0e6117e39, O=C1/C(=C/C=C/C2OC=CC=2)/CCC/C/1=C\C=C\C1OC=CC=1
cba98abe-5a0c-4fb4-8dc0-d25d6289b557, N1C=CN=C1CCC1C2=C(C=C(S2)NC(NC2=CNC=N2)=O)NC=1
cad0fe83-1045-445f-86e4-a2065e63593b, ClC1C=CC2N3C(C/N=C(\C=2C=1)/C1C=CC=CC=1)=NN=C3C
c9bfe74c-cf57-4c91-8f27-8d5030ff4939, O=S(=O)(N1CCN(C(=O)C2NC3C(=CC(=CC=3)F)C=2)CC1)C1=CC(O)=C(N)C2=CC=CC=C12
c986b20b-1002-4cae-badd-32cce9d7c04b, CCC1N=CN=C(C2C(F)=CC(CN3CCN(C(C)=O)CC3)=CC=2OCC)C=1
c7b24fe3-4c19-419c-b3f2-cfbd2bf02439, C1C=CC(Cl)=CC=1CC(=O)NC1C=CC=NC=1C#C
c6d65c11-5869-45d6-b685-d9786aded1de, O=C([C@@H]1[C@@H](CCC2C=CC=CC=2)CN(C(=O)CCl)CC1)N1CCCCC1
c4cc60be-dd5b-42b3-9afa-a27355ac03c8, ClC1C=C(CC2N=C(NCC)C=CC=2F)C=C(NCC(NC2C=NC=CC=2)=O)C=1
c429dc17-177c-429b-b309-399cf2992202, CC(=O)NC1C=NC=CC=1CCNC(=O)NC1CCCCC1
c3ab17cb-f85d-4130-a214-c5cbbf1de2b4, C(C(N)=O)1=CC=C(CC2N=CN=C2)C=C1CNC(=O)C1CCOCC1
c331be7a-6ba0-49a5-9756-17aee0dabcbf, O=C(N1CC2C=CC=CC=2C(C2C=CC=C(C)C=2)C1)CCl
c2f96c06-a63e-496a-9a44-85a79af2d9c9, OCC1C(=CN=CC=1)C1C=C(CCC2=C(NN=C2)Cl)C=CN=1
c2851835-9276-43ee-af8c-e364273a27f2, O=C(C1C(=O)C2C(=NC(N3C[C@H]4[C@H]([C@@H]4N)C3)=C(C=2)F)N(C2C(F)=CC(F)=CC=2)C=1)O
c197b967-4ec1-45d7-b549-4d452a13f668, CN(C1N=C(N(C(NC2=C(C)N=CC=C2CN2CCOCC2)=O)CC2N=C(C#C)C=CN=2)N=CC=1)C
bdda130a-03ff-4832-b659-ea97d0e55b73, N1=CC=C2C3N(S(C4=CSC=C4)(=C)=C)CCN(C(NC2=C1)=O)C3
bdcebb58-a1a9-4777-a1c1-1a7a108e9e8f, CCOC(=O)[C@@H](N[C@H](C(=O)N1[C@H](C(=O)O)CCC1)C)CCC1C=CC=CC=1
bafe64f0-6e6c-469d-8133-4ae4b797a831, CN1c2cc(S(N)(=O)=O)ccc2CC[C@@H]1c1ccn(C[C@@H]2CCOC2)n1
b9b69149-728b-48ac-b50d-9dc89a43712c, CC1C=CC(=CC=1)CCC(N1CCN(C(=O)CCl)CC1)C1C=CC=C2C(CCNC(=O)C)=CNC=12
b7f58f21-5871-4330-a23f-4dac830ca6c2, C1C(CCNC(=O)C)=CC=CC=1
b7083e67-383e-4bde-92be-96886cf0c155, ClCC(N1C(C2C(N3C(=O)CCC3)CS(=O)(=O)C2)C2C(=CC=CC=2)C(C2C=CC=CC=2)C1)=O
b46452fc-d7bc-4834-b3a7-2dc60fc7558b, O=C1C2C=CC(=CC=2NC(CN2CCN(C(=O)C)CC2)=C1Cl)S(=O)(=O)N
b301fc01-eaa3-438e-b42f-76447b374d39, O=C(CC1(C#CC2=CC=CN=C2)CCCCC1)NC3=CC=CN=C3
b2e39629-9fde-4190-8e54-9e1057a25998, ClC1C=C2C(NC=C2CCNC(C)=O)=C(CCNS(C)(=O)=O)C=1
b2d83456-e4d0-4e2b-9117-b154002b1beb, C1=CC=C(CN2CCN(C(=O)C)CC2)C2NC=C(CCNC(C)=O)C1=2
b1d4dcd7-6bcf-407e-973d-7952a4ec47e4, C(C(=O)N1CCN(CC2=CC=CS2)CC1)C(NC1C=CC(OC2N=CC=CN=2)=CC=1)=O
b0f8bd49-49c9-42dd-b1ae-14594f7750b9, CS(=O)(=O)NCC(C1C=CC=CC=1)C(=O)NC1C=CC=NC=1
abdb2f0c-96a0-42dc-a285-0a9491bb0458, O1CCN(C2=CC(C3=NC=CO3)=C(C#N)N=C2)CCC1
abcbce68-2b83-449f-a9fd-6d4b341132f2, NS(=O)(=O)C1C=C2N(CCCNS(=O)(=O)C)CCCC2=CC=1
a9f4e7c0-12ed-42db-af05-f1e95832b1bb, N(CC1C=CC(C#N)=CC=1)C(N1CCO[C@@H]([C-]2C(Cl)=C[C-]C(S(N3CCN(C([CH-])=O)CC3)(=O)=O)=C2)C1)=O
a9e9d4f4-68b2-4c87-9f93-586492c8d993, CS(=O)(=O)NCC(C1C=CC=CC=1)CCC(C1C=CN=CC=1)CCNC(=O)NC1CCCCC1
a8a902d9-28d6-4def-a3e5-d01b422540d2, CC1C=CN=CC=1NC(=O)CC(N1CCC(O)CC1)C1C=CSC=1
a80d16a0-6b0b-4976-881a-2f30779a55b5, C[NH2+]CCN1C=C(CC(C2(CC2)C2C=CC(=CC=2)Cl)C1)F
a79af1bc-c2a2-47a8-a5ad-5a4bd135c8b4, C1CN(C(=O)CCl)CCC1NC1=NC(C)=CC(C)=N1
a63bdd1d-09b8-4791-9be4-0dea837c1138, CN(CCC1C2C=C(O)C=CC=2NC=1)C
a5fc619e-a7a0-43cf-a105-697cf3dc31cf, ClCC(=O)N1C2CN(C(C2)C1)CC1C=C(Cl)C=CC=1
