submission_id, submission_smiles
fedd1f79-9ed6-4487-a801-e6f14abf8e11, CC1C=CN=CC=1NC(=O)CCCCN1CCN(C(=O)COC2C=CC(C)=CC=2)CC1
fd8d85a5-db4a-4ecf-93d1-416eee50b961, C1(C=C(C#N)C=NC=1NC1CC1)CNCCNC(C)=O
fc970077-6f76-4de1-8de8-e2a37381b22b, N1(CCN(C2C=CC=CC=2)C(=O)C1)C1C=NC=CC=1
fad6815c-0470-4c07-89ff-303cd8ea635d, CC(C1C=CN=C(N(C(NC2C(CN3CCOCC3)=CC=NC=2C)=O)CC2N=CC=C(C#C)N=2)N=1)C
fa25ac7f-b7ca-4ac6-8a32-5070858535ad, C[C@H]1C2C(=CC(=NC=2F)[S@](=O)(=N)C)N(C2CCOCC2)CC1(F)F
f9b12666-ae78-4cf8-8d60-dc19988e42d3, ClCC(N1CC(C2SC3C(=C(C=CC=3)C3C=C(S(=O)(=O)N)C=CC=3)N=2)CCC1NC(=O)C(CC(N)=O)NC(N)C)=O
f913cec9-1634-4dc6-ab4a-3fc94b17b25d, O=S(=O)(N)C1C=CC2CCCN(C=2C=1)CCC(CC1C=CN=CC=1)NC(=O)NC1CCCCC1
f8e79267-7d17-48f5-842d-11f2d0d8e9ac, O=C(NC1C=NC=CC=1)C(C1C=CC=CC=1)CCNC
f8ce3686-4774-4f4e-b96a-ab98611b1edd, O=C(N1CCN(CC2=CC=CC=C2N2CCCC2C(=O)N)CC1)CCl
f818f65b-ef01-460e-b019-b83f7b7c8031, CS(=O)(=O)NCCC1C=C(F)C=C2C(CCNC(=O)C)=CNC=12
f7373dd1-90b7-4b7f-b944-3d3ca758b1ea, O=C(CC1(CCCC1)C2=CC=CC=C2)NC3=CC=CN=C3
f4772df7-f5a5-4208-a16e-3d41483cc4c7, ClCC(=O)N1CC(C2C=CC=CC=2)C2C=C(C)C=CC=2C1C1CS(=O)(=O)CC1N1CCCC1=O
f2fa0570-a56c-465b-900e-2aeff96f4332, [H]N(C([C@@H](NC(CCC1CCCCC1)=O)CC2=CC=NC=C2)=O)[C@]([C@H](CC)C)([H])C(N[C@@H](CC(C)C)C(O)=O)=O
f28a35b5-9f3e-4135-a6b4-7ce39ba4980a, N(C(=O)NC1C=NC=CC=1C)CCCC(N)N
f118233e-eb33-4940-a8c1-e5abecc6daf6, C1(N=CC(N)=CN=1)OC(N1CCN(C(C2C=CSC=2)=O)CC1)=O
ed886787-7a03-461a-8e89-d76e33337a9e, FC1C(CC2C=C(CC)C=C(NCC(NC(C=C)=O)=O)C=2)=NC(NCC)=CC=1
ed286faa-f0a4-44f4-b4c7-e3e3ee31719b, ClCC(=O)NC1C=C(C(=O)N2CCSCC2)C=CC=1CCN(C(=O)C)C1C(C)=CC=NC=1
ec9c7557-aad7-4238-85f5-161e77412103, O=C(O)C(C=C1)=CC=C1CN2N=NC(CN3C4=CC=CC=C4C(C5=CC=CC=C5)=N3)=C2
ec786817-8c12-4e7b-946b-8359a50e7949, CC(C1C=C2NC3C(C2=CC=1)=CC(Cl)=CC=3)C(O)=O
ec639444-3928-40c6-9082-9a0493e2f96a, CCC(NC[C@H]1[C@H](C2C=CC=C3C=2CCO3)C1)=O
eb7b662f-77ed-403f-aa49-6392e76e4c98, Cc2cc(Cl)cc(NC(=O)Nc1cccnc1)c2
eace69ff-146d-41d5-b9c3-4da3a00af79c, CN(CC1=CNC2C1=CC(=CC=2N1CCCCCC1)OC)C
eab5efcb-b199-4c70-afb4-8b9adb33206d, CC(NC(=O)CCl)C1C2CC=NC2C=C(Cl)C=1
eaadd1d4-e31e-4cbc-ac00-003ff13f6b2b, C1CC(C(N2CCOCC2)=O)CCN1S(=O)(=O)C1=CC=CC=C1
e960e883-d15a-4b84-9132-90d6c5602027, O=C(CC1(CCC1)C2=CC=CC(S(=O)(N)=O)=C2)NC3=C(C)C=CN=C3
e4c3c928-4740-468d-990f-257c36b38d62, C1(C(CNC(CS)C(O)=O)=C(O)C=NC=1C)COP(O)(O)=O
e1c2b579-8004-42d8-997e-3336eabd382a, C(C)C(O)N1C(C(NC(=O)C)CC(N)=O)CN(C(O)CCl)CC1
e165996f-fab0-4366-a88a-88720b2fd2e5, S(=O)(=O)(N)C1NC2=C(CCC3N2CN(C(C)=O)CC3)C=1
e0cd5b56-777c-4dd7-92f2-e0080e6b4e75, C1=CC(C(F)(F)F)=CC2C(C3=CC=CC=C3Cl)CN(C(=O)C=C)CC1=2
e061132b-ccae-4d28-a3d4-d582d6375358, O=C1C2C=CC(=CC=2NC(CN2CCN(C(=O)C)CC2)=C1Cl)S(=O)(=O)N
dfb36048-96ef-40a6-bcaa-310b733f4437, CC(=O)NCCC1C2C=CC=C(C=2NC=1)CCNS(=O)(=O)C
